,,,,,,Fantasy,,Rank,Trends,Ret,Tackles,,,,,Misc,,Turnovers,,,TD
,Defensive Players,,Roster Status,GP*,Bye,Fan Pts ,O-Rank,Actual,% Rostered,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,TD
,No new player Notes Logan Ryan NYG - CB Sun 4:25 pm vs Den,,FA,17,10,184.64,1172,1172,21%,0,68,25.1,2.1,2.1,0,11.8,0,3.1,3.1,1,0
,No new player Notes Alex Singleton Phi - LB Sun 1:00 pm @Atl ,,FA,17,14,182.53,1506,1506,21%,0,94.4,50.4,4.2,1,0,1,0,0,1,1,0
,No new player Notes Darnell Savage GB - S Sun 4:25 pm @NO ,,FA,17,13,182.43,1763,1763,16%,0,65,20.6,1.1,0,0,14.1,0,5.4,1.1,1.1,0
,No new player Notes Micah Kiser LAR - LB Sun 8:20 pm vs Chi ,,FA,17,11,182.14,1448,1448,17%,0,86.4,63.1,4.4,1.1,0,2.2,0,1.1,0,0,0
,No new player Notes Khari Willis Ind - S Sun 1:00 pm vs Sea ,,FA,17,14,181.88,1768,1768,24%,0,86,29,5.6,1.1,0,4.2,0,2.2,1.1,1.1,0
,No new player Notes Devin Bush Pit - LB Sun 1:00 pm @Buf,,FA,17,7,181.68,1541,1541,31%,0,79.9,48.3,4.3,2.1,0,3.2,0,2.1,1.1,1.1,0
,No new player Notes Jerome Baker Mia - LB Sun 4:25 pm @NE,,FA,17,14,180.88,1463,1463,26%,0,82.7,51.5,6.4,4.3,0,1.1,0,0,1.1,1.1,0
,No new player Notes Myles Jack Jax - LB Sun 1:00 pm @Hou ,,FA,17,7,180.11,1567,1567,28%,0,86.1,51.5,4.2,1.1,0,3.2,0,1.1,1.1,0,0
,,,,,,Fantasy,,Rank,Trends,Ret,Tackles,,,,,Misc,,Turnovers,,,TD
,Defensive Players,,Roster Status,GP*,Bye,Fan Pts ,O-Rank,Actual,% Rostered,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,TD
,No new player Notes Shaquil Barrett TB - LB Thu 8:20 pm vs Dal,,FA,17,9,179.23,1530,1530,26%,0,54.7,17.5,18.6,15.1,0,0,0,0,3.5,1.2,0
,No new player Notes Brian Burns Car - LB Sun 1:00 pm vs NYJ,,FA,17,13,178.96,1549,1549,16%,0,47.7,20.1,21.2,12.7,0,4.2,0,0,4.2,2.1,0
,No new player Notes Willie Gay Jr. KC - LB Q Sun 4:25 pm vs Cle,,FA,17,12,178.71,1432,1432,16%,0,89.1,33.5,2.4,3.5,0,2.4,0,0,2.4,0,0
,No new player Notes Harrison Smith Min - S Sun 1:00 pm @Cin,,FA,17,7,178.1,1724,1724,23%,0,70.1,22.6,4.3,2.2,0,10.1,0,3.2,0,1.1,0
,No new player Notes Troy Reeder LAR - LB Sun 8:20 pm vs Chi ,,FA,17,11,177.15,1461,1461,10%,0,86.4,37.6,5.5,4.4,0,1.1,0,0,1.1,0,0
,No new player Notes Jordyn Brooks Sea - LB Sun 1:00 pm @Ind ,,FA,17,9,176.94,1417,1417,11%,0,79.1,55,4.4,1.1,0,6.6,0,0,1.1,0,0
,No new player Notes Danielle Hunter Min - DE Sun 1:00 pm @Cin,,FA,17,7,176.83,513,513,44%,0,57.1,16.2,24.8,12.9,0,0,0,0,2.2,1.1,0
,No new player Notes Benardrick McKinney Mia - LB Sun 4:25 pm @NE,,FA,17,14,176.22,1485,1485,10%,0,75.1,59,5.4,3.2,0,2,0,1.1,2.1,0,0
,No new player Notes Dre Greenlaw SF - LB Q Sun 1:00 pm @Det ,,FA,17,6,175.72,1551,1551,13%,0,90.6,39.8,4.4,1.1,0,1.1,0,1.1,1.1,0,0
,No new player Notes Keanu Neal Dal - LB Thu 8:20 pm @TB,,FA,17,7,175.1,1415,1415,18%,0,94.5,33.4,6.7,0,0,0,0,1.1,2.2,0,0
,No new player Notes Chase Young Was - DE Sun 1:00 pm vs LAC,,FA,17,9,174.15,576,576,63%,0,43,19.9,16.8,13.6,0,4.2,0,0,4.2,2.1,1
,No new player Notes Leighton Vander Esch Dal - LB Thu 8:20 pm @TB,,FA,17,7,172.33,1522,1522,20%,0,90,43.4,2.2,0,0,1.1,0,1.1,1.1,1.1,0
,No new player Notes Landon Collins Was - S Sun 1:00 pm vs LAC,,FA,17,9,171.07,1775,1775,16%,0,72.8,42,6.3,1,0,5.9,0,2.1,1,0,0
,No new player Notes A.J. Johnson Den - LB Sun 4:25 pm @NYG,,FA,17,11,170.23,1504,1504,16%,0,81.4,64.5,4.2,1.1,0,1.1,0,0,2.1,0,0
,No new player Notes Johnathan Abram LV - S Mon 8:15 pm vs Bal ,,FA,17,8,167.53,1717,1717,21%,0,74.3,32.3,3.2,0,0,6.5,0,2.2,2.2,1.1,0
,No new player Notes Vonn Bell Cin - S Sun 1:00 pm vs Min,,FA,17,10,164.87,1788,1788,20%,0,74.8,30.1,5.2,1,0,4.9,0,1,2.1,2.1,0
,No new player Notes Logan Wilson Cin - LB Sun 1:00 pm vs Min,,FA,17,10,164.23,1407,1407,7%,0,69.6,34.3,5.2,2.1,0,4.2,0,2.1,1,2.1,0
,No new player Notes Micah Parsons Dal - LB Thu 8:20 pm @TB,,FA,17,7,163.98,985,985,36%,0,62.3,41.1,6.7,4.4,0,3.3,0,2.2,1.1,1.1,0
,No new player Notes DeForest Buckner Ind - DT Q Sun 1:00 pm vs Sea ,,FA,17,14,163.06,1289,1289,40%,0,49.1,26.8,26.8,11.2,0,0,0,0,2.2,0,0
,No new player Notes Marcus Maye NYJ - S Sun 1:00 pm @Car,,FA,17,6,162.95,1776,1776,8%,0,58.6,32.9,2.1,1,0,11.6,0,3.1,1,0,0
,No new player Notes Amani Hooker Ten - S Sun 1:00 pm vs Ari,,FA,17,13,162.69,384,384,30%,0,64,29.9,3.3,0,0,9.9,0,3.3,0,1.1,0
,No new player Notes Adrian Phillips NE - S Sun 4:25 pm vs Mia,,FA,17,14,162.53,1802,1802,15%,0,79.1,27.8,4.3,0,0,5,0,2.1,0,0,0
,No new player Notes Aaron Donald LAR - DT Sun 8:20 pm vs Chi ,,FA,17,11,160.56,1321,1321,66%,0,34.3,23.3,19.9,16.6,0,0,0,0,3.3,2.2,0
,No new player Notes Shaq Thompson Car - LB Sun 1:00 pm vs NYJ,,FA,17,13,158.83,1508,1508,16%,0,68.8,56.1,6.4,2.1,0,1.1,0,1.1,1.1,1.1,0
,No new player Notes Drue Tranquill LAC - LB Sun 1:00 pm @Was,,FA,17,7,158.71,1377,1377,4%,0,78.5,38.2,5.5,0,0,2.2,0,1.1,1.1,1.1,0
,,,,,,Fantasy,,Rank,Trends,Ret,Tackles,,,,,Misc,,Turnovers,,,TD
,Defensive Players,,Roster Status,GP*,Bye,Fan Pts ,O-Rank,Actual,% Rostered,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,TD
,No new player Notes Rashaan Evans Ten - LB Sun 1:00 pm vs Ari,,FA,17,13,158.53,1564,1564,9%,0,74.9,48.4,5.5,1.1,0,2.2,0,1.1,0,0,0
,No new player Notes Tyrann Mathieu KC - S Sun 4:25 pm vs Cle,,FA,17,12,157.93,1787,1787,39%,0,73.3,17.7,1.2,2.4,0,0,0,4.7,2.4,0,0
,No new player Notes Kamren Curl Was - S Sun 1:00 pm vs LAC,,FA,17,9,156.84,1711,1711,15%,0,60.8,34.6,4.2,2.1,0,4.2,0,3.1,1,1,1
,No new player Notes Kareem Jackson Den - S Sun 4:25 pm @NYG,,FA,17,11,156.61,1765,1765,5%,0,67.7,28.5,2.1,0,0,8,0,2.1,1.1,1.1,0
,No new player Notes Jason Pierre-Paul TB - LB Thu 8:20 pm vs Dal,,FA,17,9,156.54,1484,1484,15%,0,46.6,17.5,22.1,11.6,0,0,0,0,3.5,1.2,0
,No new player Notes Khalil Mack Chi - LB Sun 8:20 pm @LAR ,,FA,17,10,155.02,1455,1455,33%,0,41.3,16.5,16.5,13.4,0,0,0,0,5.2,2.1,0
,No new player Notes Daniel Sorensen KC - S Sun 4:25 pm vs Cle,,FA,17,12,154.96,1742,1742,15%,0,72.2,22.5,3.5,0,0,5.9,0,1.2,1.2,1.2,1.2
,No new player Notes Tracy Walker Det - S Sun 1:00 pm vs SF ,,FA,17,9,154.88,1761,1761,7%,0,77.9,21.2,4,1,0,4.8,0,1,0,0,0
,No new player Notes Justin Reid Hou - S Sun 1:00 pm vs Jax ,,FA,17,10,154.01,1726,1726,8%,0,69.5,21.1,3,1,0,5.7,0,3,0,0,0
,No new player Notes Eddie Jackson Chi - S Sun 8:20 pm @LAR ,,FA,17,10,153.96,1803,1803,9%,0,59.9,16.5,1,1,0,5.2,0,5.2,2.1,1,1
,No new player Notes Chandler Jones Ari - LB Sun 1:00 pm @Ten,,FA,17,12,153.08,1468,1468,10%,0,40.7,12.1,24.2,13.2,0,0,0,0,3.3,1.1,0
,Player Note Xavien Howard Mia - CB Sun 4:25 pm @NE,,FA,17,14,152.45,1146,1146,26%,0,35.4,9.7,0,0,0,22.5,0,5.4,0,0,0
